hostname_check-hostname-check-2-1  | 2023-07-11 15:56:58,895 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-2-1  | 2023-07-11 15:56:58,896 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-2-1  | 2023-07-11 15:56:58,896 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-2-1  | 2023-07-11 15:56:58,896 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-2-1  | 2023-07-11 15:56:58,896 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-2-1  | 2023-07-11 15:56:58,896 - WARNING - Checked 6 hostnames, 6 were successful, 0 failed
hostname_check-hostname-check-2-1  | 2023-07-11 15:56:58,896 - INFO - Sleeping for 9.994057178497314 seconds
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:07,898 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:07,899 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:07,900 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:07,900 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:07,901 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:07,902 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:07,902 - WARNING - Checked 6 hostnames, 6 were successful, 0 failed
hostname_check-hostname-check-1-1  | 2023-07-11 15:56:58,599 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
